DATECODE,STATE,STATE_FULL,EMP_COUNT,AVG_SALARY
202503,CA,CALIFORNIA,182276,115994
202503,TX,TEXAS,171064,102154
202503,VA,VIRGINIA,167789,124988
202503,MD,MARYLAND,149707,138453
202503,DC,DISTRICT OF COLUMBIA,141613,150626
202503,FL,FLORIDA,117353,102985
202503,GA,GEORGIA,90219,100945
202503,PA,PENNSYLVANIA,74194,101309
202503,NY,NEW YORK,71437,108166
202503,WA,WASHINGTON,64218,105919
202503,REDACTED,REDACTED,60762,88047
202503,OH,OHIO,60425,108213
202503,NC,NORTH CAROLINA,57025,100537
202503,IL,ILLINOIS,53474,109781
202503,AZ,ARIZONA,46211,98796
202503,CO,COLORADO,45068,112495
202503,AL,ALABAMA,44822,108206
202503,OK,OKLAHOMA,44363,91890
202503,MO,MISSOURI,40913,93101
202503,MI,MICHIGAN,35962,109574
202503,TN,TENNESSEE,35647,93701
202503,UT,UTAH,35410,89025
202503,MA,MASSACHUSETTS,29918,115743
202503,NJ,NEW JERSEY,29311,121168
202503,HI,HAWAII,27836,101199
202503,SC,SOUTH CAROLINA,27608,98606
202503,IN,INDIANA,26912,98539
202503,KY,KENTUCKY,26542,90123
202503,NM,NEW MEXICO,25401,97618
202503,LA,LOUISIANA,22772,96153
202503,WV,WEST VIRGINIA,22450,100190
202503,OR,OREGON,21483,102137
202503,MN,MINNESOTA,21114,105911
202503,MS,MISSISSIPPI,20904,91486
202503,WI,WISCONSIN,19227,99600
202503,KS,KANSAS,18747,96116
202503,NV,NEVADA,16744,99250
202503,AR,ARKANSAS,15381,94988
202503,ME,MAINE,14164,96541
202503,NE,NEBRASKA,12386,97036
202503,AK,ALASKA,12381,103521
202503,MT,MONTANA,11350,91837
202503,ID,IDAHO,11094,91228
202503,IA,IOWA,10513,97054
202503,SD,SOUTH DAKOTA,9174,89016
202503,RI,RHODE ISLAND,9077,116293
202503,CT,CONNECTICUT,8530,116447
202503,ND,NORTH DAKOTA,6609,91426
202503,WY,WYOMING,6476,90697
202503,NH,NEW HAMPSHIRE,5773,116402
202503,VT,VERMONT,5298,106091
202503,DE,DELAWARE,4345,107265
202409,CA,CALIFORNIA,184818,112331
202409,TX,TEXAS,170400,99953
202409,VA,VIRGINIA,168691,120800
202409,MD,MARYLAND,151810,135366
202409,DC,DISTRICT OF COLUMBIA,143216,146108
202409,FL,FLORIDA,117052,100645
202409,GA,GEORGIA,90112,98678
202409,PA,PENNSYLVANIA,74565,98719
202409,NY,NEW YORK,72562,105289
202409,WA,WASHINGTON,65512,102092
202409,REDACTED,REDACTED,62690,89079
202409,OH,OHIO,61049,105560
202409,NC,NORTH CAROLINA,57194,97806
202409,IL,ILLINOIS,53958,106938
202409,AZ,ARIZONA,46790,96014
202409,CO,COLORADO,45914,108435
202409,AL,ALABAMA,44875,105612
202409,OK,OKLAHOMA,44492,89492
202409,MO,MISSOURI,41045,90838
202409,MI,MICHIGAN,36162,106404
202409,TN,TENNESSEE,36066,91300
202409,UT,UTAH,35817,86078
202409,MA,MASSACHUSETTS,30309,112585
202409,NJ,NEW JERSEY,29563,119955
202409,HI,HAWAII,27930,99044
202409,SC,SOUTH CAROLINA,27618,96115
202409,IN,INDIANA,27295,96043
202409,KY,KENTUCKY,26583,87830
202409,NM,NEW MEXICO,25853,94554
202409,OR,OREGON,22983,96266
202409,LA,LOUISIANA,22830,94249
202409,WV,WEST VIRGINIA,22708,97369
202409,MN,MINNESOTA,21372,103080
202409,MS,MISSISSIPPI,21196,89144
202409,WI,WISCONSIN,19675,96489
202409,KS,KANSAS,19130,93897
202409,NV,NEVADA,16896,96198
202409,AR,ARKANSAS,15616,92073
202409,ME,MAINE,14338,93503
202409,AK,ALASKA,12924,99356
202409,MT,MONTANA,12539,85237
202409,NE,NEBRASKA,12522,94268
202409,ID,IDAHO,11984,85509
202409,IA,IOWA,10712,94436
202409,SD,SOUTH DAKOTA,9417,85359
202409,RI,RHODE ISLAND,9178,113853
202409,CT,CONNECTICUT,7748,112618
202409,WY,WYOMING,7214,83992
202409,ND,NORTH DAKOTA,6678,89046
202409,NH,NEW HAMPSHIRE,5878,112884
202409,VT,VERMONT,5383,103015
202409,DE,DELAWARE,4354,104428
