Year,State,County,Ownership,Establishment Count,January Employment,February Employment,March Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2025,Alabama,"Autauga County",Federal Government,12,100,94,96,"1,757,540","1,399",0.38,0.41
2025,Alabama,"Baldwin County",Federal Government,36,396,408,417,"8,249,232","1,559",0.25,0.29
2025,Alabama,"Barbour County",Federal Government,9,53,51,52,"859,240","1,271",0.35,0.38
2025,Alabama,"Bibb County",Federal Government,9,67,65,70,"1,667,606","1,905",0.76,1.04
2025,Alabama,"Blount County",Federal Government,10,75,78,77,"1,392,184","1,397",0.43,0.52
2025,Alabama,"Bullock County",Federal Government,6,33,29,28,"581,280","1,490",0.56,0.73
2025,Alabama,"Butler County",Federal Government,6,37,36,37,"632,164","1,326",0.28,0.31
2025,Alabama,"Calhoun County",Federal Government,43,"3,425","3,414","3,412","63,135,525","1,421",4.09,4.43
2025,Alabama,"Chambers County",Federal Government,6,53,47,48,"902,207","1,407",0.27,0.31
2025,Alabama,"Cherokee County",Federal Government,10,43,48,48,"870,753","1,446",0.46,0.55
2025,Alabama,"Chilton County",Federal Government,7,61,58,58,"993,252","1,295",0.32,0.35
2025,Alabama,"Choctaw County",Federal Government,7,27,27,29,"398,477","1,108",0.45,0.31
2025,Alabama,"Clarke County",Federal Government,13,65,68,63,"1,152,858","1,357",0.42,0.44
2025,Alabama,"Clay County",Federal Government,6,40,40,41,"758,006","1,446",0.5,0.6
2025,Alabama,"Cleburne County",Federal Government,8,54,52,53,"1,104,690","1,603",0.97,1.16
2025,Alabama,"Coffee County",Federal Government,15,247,246,243,"5,254,338","1,647",0.72,1.01
2025,Alabama,"Colbert County",Federal Government,15,761,768,765,"23,835,484","2,398",1.61,2.63
2025,Alabama,"Conecuh County",Federal Government,5,25,21,22,"403,855","1,371",0.34,0.4
2025,Alabama,"Coosa County",Federal Government,6,16,14,14,"266,876","1,400",0.49,0.52
2025,Alabama,"Covington County",Federal Government,15,130,129,126,"2,427,311","1,455",0.53,0.65
2025,Alabama,"Crenshaw County",Federal Government,10,34,33,34,"563,303","1,287",0.51,0.55
2025,Alabama,"Cullman County",Federal Government,19,186,189,194,"3,790,156","1,537",0.33,0.37
2025,Alabama,"Dale County",Federal Government,36,"2,990","2,993","2,997","51,693,450","1,328",8.42,7.01
2025,Alabama,"Dallas County",Federal Government,17,169,166,164,"3,356,845","1,552",0.74,0.92
2025,Alabama,"DeKalb County",Federal Government,19,157,152,156,"2,847,577","1,413",0.34,0.38
2025,Alabama,"Elmore County",Federal Government,15,201,197,197,"3,863,846","1,499",0.47,0.56
2025,Alabama,"Escambia County",Federal Government,6,62,61,60,"1,007,382","1,270",0.24,0.23
2025,Alabama,"Etowah County",Federal Government,18,284,290,291,"6,346,912","1,693",0.46,0.65
2025,Alabama,"Fayette County",Federal Government,7,33,33,32,"510,348","1,202",0.43,0.39
2025,Alabama,"Franklin County",Federal Government,9,82,79,81,"1,472,088","1,404",0.39,0.44
2025,Alabama,"Geneva County",Federal Government,11,53,52,54,"881,446","1,279",0.51,0.59
2025,Alabama,"Greene County",Federal Government,7,22,21,21,"316,870","1,143",0.63,0.64
2025,Alabama,"Hale County",Federal Government,11,38,40,37,"642,012","1,288",0.72,0.78
2025,Alabama,"Henry County",Federal Government,7,42,40,42,"666,624","1,241",0.59,0.53
2025,Alabama,"Houston County",Federal Government,25,299,285,283,"6,173,589","1,643",0.29,0.34
2025,Alabama,"Jackson County",Federal Government,23,141,142,139,"2,990,405","1,635",0.48,0.62
2025,Alabama,"Jefferson County",Federal Government,91,"8,630","8,603","8,530","205,733,460","1,843",1.21,1.12
2025,Alabama,"Lamar County",Federal Government,7,34,33,32,"490,249","1,143",0.5,0.45
2025,Alabama,"Lauderdale County",Federal Government,21,281,276,283,"5,531,489","1,520",0.47,0.58
2025,Alabama,"Lawrence County",Federal Government,11,92,90,86,"2,136,869","1,840",0.81,1.21
2025,Alabama,"Lee County",Federal Government,18,359,368,366,"7,970,991","1,683",0.28,0.33
2025,Alabama,"Limestone County",Federal Government,15,"1,498","1,490","1,489","52,617,240","2,712",2.19,3.95
2025,Alabama,"Lowndes County",Federal Government,7,36,34,33,"443,072",993,0.7,0.48
2025,Alabama,"Macon County",Federal Government,11,922,904,907,"20,962,545","1,770",10.06,11.74
2025,Alabama,"Madison County",Federal Government,73,"19,767","19,704","19,682","568,539,933","2,218",4.41,4.91
2025,Alabama,"Marengo County",Federal Government,13,60,61,57,"902,079","1,170",0.41,0.35
2025,Alabama,"Marion County",Federal Government,11,81,73,73,"1,266,999","1,288",0.37,0.4
2025,Alabama,"Marshall County",Federal Government,19,255,263,262,"5,834,601","1,726",0.33,0.45
2025,Alabama,"Mobile County",Federal Government,71,"2,906","2,927","2,930","65,175,841","1,716",0.87,0.94
2025,Alabama,"Monroe County",Federal Government,15,48,50,52,"797,947","1,228",0.45,0.38
2025,Alabama,"Montgomery County",Federal Government,90,"6,533","6,496","6,495","151,389,892","1,789",2.55,2.95
2025,Alabama,"Morgan County",Federal Government,23,286,277,276,"6,016,995","1,655",0.26,0.28
2025,Alabama,"Perry County",Federal Government,4,19,23,18,"318,200","1,224",0.52,0.65
2025,Alabama,"Pickens County",Federal Government,8,318,320,323,"8,478,700","2,036",4.59,7.02
2025,Alabama,"Pike County",Federal Government,8,92,90,89,"1,597,976","1,361",0.3,0.31
2025,Alabama,"Randolph County",Federal Government,9,56,58,58,"965,840","1,296",0.61,0.66
2025,Alabama,"Russell County",Federal Government,12,128,125,125,"2,126,078","1,298",0.46,0.48
2025,Alabama,"St. Clair County",Federal Government,13,121,114,117,"2,114,514","1,386",0.27,0.22
2025,Alabama,"Shelby County",Federal Government,26,412,407,386,"7,198,219","1,379",0.24,0.19
2025,Alabama,"Sumter County",Federal Government,13,35,31,31,"484,636","1,153",0.58,0.56
2025,Alabama,"Talladega County",Federal Government,16,436,434,443,"11,493,483","2,020",0.72,1.01
2025,Alabama,"Tallapoosa County",Federal Government,9,83,85,86,"1,559,686","1,417",0.35,0.39
2025,Alabama,"Tuscaloosa County",Federal Government,34,"1,822","1,819","1,806","42,738,055","1,811",0.95,1.11
2025,Alabama,"Walker County",Federal Government,21,199,202,200,"3,663,239","1,407",0.55,0.61
2025,Alabama,"Washington County",Federal Government,13,31,32,30,"381,905",948,0.29,0.12
2025,Alabama,"Wilcox County",Federal Government,12,53,54,53,"812,406","1,172",1.01,0.76
2025,Alabama,"Winston County",Federal Government,9,69,73,72,"1,311,318","1,414",0.46,0.49
2025,Alabama,"Unknown Or Undefined",Federal Government,91,"2,292","2,289","2,269","61,993,044","2,088",1.44,1.21
2025,Alaska,"Aleutians East Borough",Federal Government,7,14,14,12,"238,221","1,374",0.3,0.29
2025,Alaska,"Aleutians West Census Area",Federal Government,5,13,13,13,"320,641","1,897",0.15,0.15
2025,Alaska,"Anchorage Municipality",Federal Government,101,"8,327","8,318","8,336","222,200,403","2,053",2.94,3.06
2025,Alaska,"Bethel Census Area",Federal Government,25,75,74,73,"1,398,837","1,454",0.61,0.67
2025,Alaska,"Bristol Bay Borough",Federal Government,7,48,50,50,"1,147,732","1,790",4.49,4.44
2025,Alaska,"Chugach Census Area",Federal Government,6,46,49,50,"1,207,266","1,921",0.83,0.75
2025,Alaska,"Copper River Census Area",Federal Government,6,65,66,68,"1,598,777","1,854",3.63,4.56
2025,Alaska,"Denali Borough",Federal Government,8,153,151,166,"4,049,926","1,989",8.62,7
2025,Alaska,"Dillingham Census Area",Federal Government,12,67,65,63,"1,401,996","1,659",1.76,1.69
2025,Alaska,"Fairbanks North Star Borough",Federal Government,67,"3,121","3,144","3,234","70,617,888","1,716",4.58,4.28
2025,Alaska,"Haines Borough",Federal Government,2,11,12,12,"388,513","2,562",0.76,1.37
2025,Alaska,"Hoonah-Angoon Census Area",Federal Government,8,123,125,129,"2,443,125","1,495",8.59,10.4
2025,Alaska,"Juneau City and Borough",Federal Government,22,722,709,729,"22,179,904","2,370",2.23,2.94
2025,Alaska,"Kenai Peninsula Borough",Federal Government,27,353,350,356,"8,808,595","1,920",0.91,1.06
2025,Alaska,"Ketchikan Gateway Borough",Federal Government,12,193,193,207,"5,219,161","2,031",1.69,1.99
2025,Alaska,"Kodiak Island Borough",Federal Government,14,246,250,252,"5,203,367","1,605",2.29,2.44
2025,Alaska,"Kusilvak Census Area",Federal Government,11,26,28,27,"296,879",846,0.69,0.52
2025,Alaska,"Lake and Peninsula Borough",Federal Government,10,22,22,21,"263,366",935,1.61,1.44
2025,Alaska,"Matanuska-Susitna Borough",Federal Government,19,293,293,293,"8,408,679","2,208",0.52,0.78
2025,Alaska,"Nome Census Area",Federal Government,17,44,46,44,"877,429","1,511",0.59,0.47
2025,Alaska,"North Slope Borough",Federal Government,9,16,13,14,"317,930","1,706",0.05,0.03
2025,Alaska,"Northwest Arctic Borough",Federal Government,14,42,43,46,"800,592","1,410",0.81,0.47
2025,Alaska,"Petersburg Borough",Federal Government,5,70,70,76,"1,822,881","1,948",3.38,5.2
2025,Alaska,"Prince of Wales-Hyder Census Area",Federal Government,10,76,78,83,"1,699,877","1,655",2.18,2.58
2025,Alaska,"Sitka City and Borough",Federal Government,8,102,98,107,"2,496,458","1,877",1.35,1.69
2025,Alaska,"Skagway Municipality",Federal Government,2,8,9,10,"472,831","4,041",1.04,2.74
2025,Alaska,"Southeast Fairbanks Census Area",Federal Government,12,358,364,363,"13,137,008","2,794",6.25,6.97
2025,Alaska,"Wrangell City and Borough",Federal Government,5,31,32,38,"821,782","1,878",2.74,3.18
2025,Alaska,"Yakutat City and Borough",Federal Government,4,17,17,17,"391,941","1,773",3.21,3.26
2025,Alaska,"Yukon-Koyukuk Census Area",Federal Government,28,51,53,53,"810,881","1,192",1.25,1.11
2025,Alaska,"Unknown Or Undefined",Federal Government,46,344,344,340,"10,020,583","2,249",5.54,5.21
