Year,State,County,Ownership,Establishment Count,January Employment,February Employment,March Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2025,Alabama,"Autauga County, Alabama",Federal Government,12,100,94,96,"1,757,540","1,399",0.38,0.41
2025,Alabama,"Baldwin County, Alabama",Federal Government,36,396,408,417,"8,249,232","1,559",0.25,0.29
2025,Alabama,"Barbour County, Alabama",Federal Government,9,53,51,52,"859,240","1,271",0.35,0.38
2025,Alabama,"Bibb County, Alabama",Federal Government,9,67,65,70,"1,667,606","1,905",0.76,1.04
2025,Alabama,"Blount County, Alabama",Federal Government,10,75,78,77,"1,392,184","1,397",0.43,0.52
2025,Alabama,"Bullock County, Alabama",Federal Government,6,33,29,28,"581,280","1,490",0.56,0.73
2025,Alabama,"Butler County, Alabama",Federal Government,6,37,36,37,"632,164","1,326",0.28,0.31
2025,Alabama,"Calhoun County, Alabama",Federal Government,43,"3,425","3,414","3,412","63,135,525","1,421",4.09,4.43
2025,Alabama,"Chambers County, Alabama",Federal Government,6,53,47,48,"902,207","1,407",0.27,0.31
2025,Alabama,"Cherokee County, Alabama",Federal Government,10,43,48,48,"870,753","1,446",0.46,0.55
2025,Alabama,"Chilton County, Alabama",Federal Government,7,61,58,58,"993,252","1,295",0.32,0.35
2025,Alabama,"Choctaw County, Alabama",Federal Government,7,27,27,29,"398,477","1,108",0.45,0.31
2025,Alabama,"Clarke County, Alabama",Federal Government,13,65,68,63,"1,152,858","1,357",0.42,0.44
2025,Alabama,"Clay County, Alabama",Federal Government,6,40,40,41,"758,006","1,446",0.5,0.6
2025,Alabama,"Cleburne County, Alabama",Federal Government,8,54,52,53,"1,104,690","1,603",0.97,1.16
2025,Alabama,"Coffee County, Alabama",Federal Government,15,247,246,243,"5,254,338","1,647",0.72,1.01
2025,Alabama,"Colbert County, Alabama",Federal Government,15,761,768,765,"23,835,484","2,398",1.61,2.63
2025,Alabama,"Conecuh County, Alabama",Federal Government,5,25,21,22,"403,855","1,371",0.34,0.4
2025,Alabama,"Coosa County, Alabama",Federal Government,6,16,14,14,"266,876","1,400",0.49,0.52
2025,Alabama,"Covington County, Alabama",Federal Government,15,130,129,126,"2,427,311","1,455",0.53,0.65
2025,Alabama,"Crenshaw County, Alabama",Federal Government,10,34,33,34,"563,303","1,287",0.51,0.55
