region,county,state,risk_score,lat,lon
"Abbeville County, 45.0",Abbeville County,45.0,0.016200000000000003,39.8283,-98.5795
"Acadia Parish, 22.0",Acadia Parish,22.0,0.013201722875237465,39.8283,-98.5795
"Accomack County, 51.0",Accomack County,51.0,0.0126,39.8283,-98.5795
"Ada County, 16.0",Ada County,16.0,0.0105,39.8283,-98.5795
"Adair County, 19.0",Adair County,19.0,0.008444590494036674,39.8283,-98.5795
"Adair County, 21.0",Adair County,21.0,0.016330290585756302,39.8283,-98.5795
"Adair County, 29.0",Adair County,29.0,0.0168,39.8283,-98.5795
"Adair County, 40.0",Adair County,40.0,0.0126,39.8283,-98.5795
"Adams County, 16.0",Adams County,16.0,0.020294591784477234,39.8283,-98.5795
"Adams County, 17.0",Adams County,17.0,0.011399999999999999,39.8283,-98.5795
"Adams County, 18.0",Adams County,18.0,0.011444581672549248,39.8283,-98.5795
"Adams County, 19.0",Adams County,19.0,0.008423160761594772,39.8283,-98.5795
"Adams County, 28.0",Adams County,28.0,0.0174,39.8283,-98.5795
"Adams County, 31.0",Adams County,31.0,0.008573158644139767,39.8283,-98.5795
"Adams County, 38.0",Adams County,38.0,0.006923156324774027,39.8283,-98.5795
"Adams County, 39.0",Adams County,39.0,0.019544588401913643,39.8283,-98.5795
"Adams County, 42.0",Adams County,42.0,0.013200000000000002,39.8283,-98.5795
"Adams County, 53.0",Adams County,53.0,0.01652315817773342,39.8283,-98.5795
"Adams County, 55.0",Adams County,55.0,0.014508862979710102,39.8283,-98.5795
"Adams County, 8.0",Adams County,8.0,0.014444594271481037,39.8283,-98.5795
"Addison County, 50.0",Addison County,50.0,0.0072,39.8283,-98.5795
"Adjuntas Municipio, 72.0",Adjuntas Municipio,72.0,0.05009999999999999,39.8283,-98.5795
"Aguada Municipio, 72.0",Aguada Municipio,72.0,0.0234,39.8283,-98.5795
"Aguadilla Municipio, 72.0",Aguadilla Municipio,72.0,0.0282,39.8283,-98.5795
"Aguas Buenas Municipio, 72.0",Aguas Buenas Municipio,72.0,0.0186,39.8283,-98.5795
"Aibonito Municipio, 72.0",Aibonito Municipio,72.0,0.0207,39.8283,-98.5795
"Aiken County, 45.0",Aiken County,45.0,0.015,39.8283,-98.5795
"Aitkin County, 27.0",Aitkin County,27.0,0.0168,39.8283,-98.5795
"Alachua County, 12.0",Alachua County,12.0,0.015299999999999998,39.8283,-98.5795
"Alamance County, 37.0",Alamance County,37.0,0.012299999999999998,39.8283,-98.5795
"Alameda County, 6.0",Alameda County,6.0,0.015299999999999998,39.8283,-98.5795
"Alamosa County, 8.0",Alamosa County,8.0,0.015644587576389313,39.8283,-98.5795
"Albany County, 36.0",Albany County,36.0,0.011399999999999999,39.8283,-98.5795
"Albany County, 56.0",Albany County,56.0,0.008380302228033543,39.8283,-98.5795
"Albemarle County, 51.0",Albemarle County,51.0,0.0105,39.8283,-98.5795
"Alcona County, 26.0",Alcona County,26.0,0.029487449675798416,39.8283,-98.5795
"Alcorn County, 28.0",Alcorn County,28.0,0.012,39.8283,-98.5795
"Aleutians East Borough, 2.0",Aleutians East Borough,2.0,0.009773161262273788,39.8283,-98.5795
"Aleutians West Census Area, 2.0",Aleutians West Census Area,2.0,0.010416017845273018,39.8283,-98.5795
"Alexander County, 17.0",Alexander County,17.0,0.0231,39.8283,-98.5795
"Alexander County, 37.0",Alexander County,37.0,0.0117,39.8283,-98.5795
"Alexandria City, 51.0",Alexandria City,51.0,0.011399999999999999,39.8283,-98.5795
"Alfalfa County, 40.0",Alfalfa County,40.0,0.0075660208240151405,39.8283,-98.5795
"Alger County, 26.0",Alger County,26.0,0.02640172280371189,39.8283,-98.5795
"Allamakee County, 19.0",Allamakee County,19.0,0.012066017836332321,39.8283,-98.5795
"Allegan County, 26.0",Allegan County,26.0,0.014551723375916481,39.8283,-98.5795
"Allegany County, 24.0",Allegany County,24.0,0.0171,39.8283,-98.5795
"Allegany County, 36.0",Allegany County,36.0,0.0141,39.8283,-98.5795
"Alleghany County, 37.0",Alleghany County,37.0,0.012,39.8283,-98.5795
"Alleghany County, 51.0",Alleghany County,51.0,0.012366012670099735,39.8283,-98.5795
"Allegheny County, 42.0",Allegheny County,42.0,0.0135,39.8283,-98.5795
"Allen County, 18.0",Allen County,18.0,0.011701731942594051,39.8283,-98.5795
"Allen County, 20.0",Allen County,20.0,0.0138,39.8283,-98.5795
"Allen County, 21.0",Allen County,21.0,0.014487452805042267,39.8283,-98.5795
"Allen County, 39.0",Allen County,39.0,0.016200000000000003,39.8283,-98.5795
"Allen Parish, 22.0",Allen Parish,22.0,0.015216016210615635,39.8283,-98.5795
"Allendale County, 45.0",Allendale County,45.0,0.021,39.8283,-98.5795
"Alpena County, 26.0",Alpena County,26.0,0.01789458841085434,39.8283,-98.5795
"Alpine County, 6.0",Alpine County,6.0,0.027,39.8283,-98.5795
"Amador County, 6.0",Amador County,6.0,0.0183,39.8283,-98.5795
"Amelia County, 51.0",Amelia County,51.0,0.0108,39.8283,-98.5795
