LAUS Code,State FIPS Code,County FIPS Code,County,Period,Labor Force,Employed,Unemployed,Unemploy-ment Rate (%)
CN0100100000000,01,001,"Autauga County, AL",24-Jul,"28,591","27,720",871,3
CN0100300000000,01,003,"Baldwin County, AL",24-Jul,"119,577","116,087","3,490",2.9
CN0100500000000,01,005,"Barbour County, AL",24-Jul,"8,861","8,471",390,4.4
CN0100700000000,01,007,"Bibb County, AL",24-Jul,"8,795","8,497",298,3.4
CN0100900000000,01,009,"Blount County, AL",24-Jul,"27,263","26,471",792,2.9
CN0101100000000,01,011,"Bullock County, AL",24-Jul,"4,209","4,010",199,4.7
CN0101300000000,01,013,"Butler County, AL",24-Jul,"8,081","7,720",361,4.5
CN0101500000000,01,015,"Calhoun County, AL",24-Jul,"49,862","48,040","1,822",3.7
CN0101700000000,01,017,"Chambers County, AL",24-Jul,"18,204","17,602",602,3.3
CN0101900000000,01,019,"Cherokee County, AL",24-Jul,"10,340","9,986",354,3.4
CN0102100000000,01,021,"Chilton County, AL",24-Jul,"20,361","19,701",660,3.2
CN0102300000000,01,023,"Choctaw County, AL",24-Jul,"4,213","4,008",205,4.9
CN0102500000000,01,025,"Clarke County, AL",24-Jul,"8,418","7,936",482,5.7
CN0102700000000,01,027,"Clay County, AL",24-Jul,"5,965","5,764",201,3.4
CN0102900000000,01,029,"Cleburne County, AL",24-Jul,"6,485","6,275",210,3.2
CN0103100000000,01,031,"Coffee County, AL",24-Jul,"23,867","23,063",804,3.4
CN0103300000000,01,033,"Colbert County, AL",24-Jul,"25,929","24,970",959,3.7
CN0103500000000,01,035,"Conecuh County, AL",24-Jul,"4,012","3,826",186,4.6
CN0103700000000,01,037,"Coosa County, AL",24-Jul,"4,391","4,217",174,4
CN0103900000000,01,039,"Covington County, AL",24-Jul,"15,215","14,658",557,3.7
CN0104100000000,01,041,"Crenshaw County, AL",24-Jul,"5,611","5,396",215,3.8
CN0104300000000,01,043,"Cullman County, AL",24-Jul,"40,119","38,928","1,191",3
CN0104500000000,01,045,"Dale County, AL",24-Jul,"19,086","18,369",717,3.8
CN0104700000000,01,047,"Dallas County, AL",24-Jul,"14,541","13,651",890,6.1
